1,12.00000,1,19.00000,0,1,1,1,2,44.00000,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0
3,18.00000,1,75.00000,1,0,0,2,3,51.00000,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1
0,18.00000,0,18.00000,0,0,1,2,0,48.00000,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3,24.00000,1,23.00000,0,0,0,3,0,45.00000,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1
3,8.00000,0,34.00000,0,2,0,2,0,39.00000,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0
2,18.00000,4,65.00000,0,0,0,2,1,39.00000,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
3,24.00000,0,64.00000,0,0,1,2,1,44.00000,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
2,12.00000,1,6.00000,0,1,3,1,0,49.00000,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0
0,9.00000,0,19.00000,0,2,0,0,2,35.00000,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
3,28.00000,1,40.00000,0,1,0,1,2,45.00000,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
2,6.00000,4,8.00000,1,1,0,1,0,26.00000,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0
3,24.00000,2,17.00000,0,3,1,1,2,29.00000,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1
0,15.00000,0,23.00000,2,1,0,2,2,27.00000,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
2,24.00000,0,58.00000,3,1,0,1,0,27.00000,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
3,24.00000,1,29.00000,0,1,0,2,1,63.00000,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
0,48.00000,2,62.00000,0,0,0,2,1,50.00000,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
3,27.00000,3,53.00000,0,4,0,2,3,50.00000,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1
