| The first 300 instances of waveform.data
-0.23,-1.21,1.20,1.23,-0.10,0.12,2.49,1.19,1.34,0.58,1.22,2.30,4.65,5.82,4.91,3.16,2.25,4.01,0.82,2.28,1.01,0.09,1.22,-0.23,-0.14,1.11,0.02,-1.32,-0.11,-0.47,-0.63,-0.86,-0.70,0.51,0.34,-0.13,-0.87,0.56,-0.53,0.29,2
0.38,0.38,-0.31,-0.09,1.52,1.35,1.49,3.81,2.33,1.34,1.45,3.70,3.08,5.01,3.27,3.40,2.23,2.56,2.15,-0.90,-0.37,-1.78,-0.40,0.45,-1.32,0.40,0.13,0.11,-0.78,2.36,0.31,1.28,1.40,0.00,-0.18,0.71,0.04,0.91,-0.79,0.22,0
-0.69,1.00,1.08,1.48,2.44,3.39,3.09,4.08,5.48,3.61,0.47,1.68,2.35,-1.04,0.63,-0.87,-0.80,0.63,0.35,-0.10,-1.42,2.14,0.57,1.21,-1.64,0.20,0.07,0.64,0.41,-0.12,0.93,0.29,1.12,0.60,0.28,2.17,0.18,-0.09,-1.33,1.00,1
0.40,0.68,0.27,1.39,1.03,-0.32,-1.23,-0.50,0.11,0.87,1.27,4.41,3.51,4.88,4.66,5.71,2.72,0.95,1.94,0.47,-0.47,1.21,1.12,0.57,1.12,0.12,0.10,0.20,3.10,-0.34,1.18,0.43,-0.30,-0.07,-0.99,-0.75,1.11,1.35,-1.63,0.10,0
-0.81,1.59,-0.69,1.16,4.22,4.98,4.52,2.54,5.60,4.66,4.25,1.58,2.51,2.40,1.82,0.34,2.09,0.29,-2.47,2.47,-0.25,-0.66,0.75,0.19,0.31,0.21,1.19,-0.55,-1.43,-0.29,-0.07,0.62,0.14,1.33,-1.87,1.48,-0.02,-0.58,0.93,0.40,1
0.59,0.77,-0.61,1.00,1.80,2.08,2.16,3.59,4.08,3.63,4.27,4.43,3.45,2.47,3.64,0.14,-0.07,0.32,-1.09,-0.03,-0.19,-0.50,-1.22,-0.42,-1.27,-0.62,0.34,-0.58,2.23,-0.65,-0.15,1.23,-0.29,-1.62,0.19,-1.04,0.43,-1.82,-1.14,-0.23,1
-0.15,0.13,2.27,2.39,4.00,6.14,5.36,4.08,3.81,3.89,2.46,1.78,-1.43,0.70,1.08,1.90,-1.00,-0.31,0.37,1.30,-0.18,0.28,-0.61,1.23,-0.19,-2.05,0.14,1.53,-1.17,0.84,0.40,0.25,-0.78,-0.12,-0.35,0.44,0.31,-0.45,-0.23,0.27,0
-0.30,-0.42,0.25,-0.61,-1.39,-0.60,1.71,4.01,2.96,5.81,6.56,5.69,5.46,2.72,1.27,2.12,1.79,0.20,1.19,0.25,1.40,0.04,0.56,0.26,2.06,-0.63,-0.19,-0.74,0.15,0.68,-0.60,-0.00,0.28,0.61,-0.40,-1.96,1.26,-0.72,2.01,0.95,2
-1.45,2.71,3.04,3.21,4.26,5.01,6.24,5.09,3.95,4.84,2.15,-0.30,1.53,-1.19,-1.35,1.42,0.01,0.98,-0.00,-0.22,0.70,0.13,0.63,0.37,0.81,-0.04,0.54,-0.68,1.07,0.06,-0.40,-1.18,0.07,1.91,-0.15,-0.27,1.90,1.14,-0.05,0.04,0
0.28,0.97,-1.01,-2.34,-1.89,0.54,0.05,2.05,2.38,3.66,3.09,5.12,4.14,3.70,3.89,3.86,4.91,2.70,2.18,1.17,-0.10,0.36,0.19,-0.92,-0.83,-1.15,0.29,0.17,-0.86,0.78,0.91,-0.12,1.52,-1.52,-0.16,-0.41,-0.48,-0.37,0.80,1.30,2
-1.09,-0.44,1.15,0.17,2.10,3.77,2.40,5.16,5.13,3.66,2.42,2.83,1.02,1.26,0.88,0.10,-0.55,-0.38,0.96,-1.10,0.94,-0.87,1.37,-0.16,3.17,-0.26,0.13,0.08,1.26,1.58,1.33,-0.24,0.77,0.95,-0.43,-0.05,0.76,0.44,-0.70,1.08,1
0.50,-1.23,-0.09,0.31,2.22,-0.02,2.24,-0.07,1.98,2.27,4.94,3.97,3.85,3.19,5.06,3.03,3.24,1.09,3.17,0.58,2.36,-1.26,0.67,0.48,1.03,1.61,1.29,-0.32,-0.40,0.05,1.01,-1.18,-0.52,-1.41,-3.49,1.74,-0.37,-0.25,-0.63,0.20,2
-0.23,-0.44,1.04,0.38,0.53,-0.95,0.97,1.57,1.48,4.88,4.70,4.73,5.38,4.65,2.88,0.71,-0.71,0.35,0.67,0.05,0.86,0.28,0.35,-2.03,-1.05,-0.30,-0.72,-0.74,-0.67,-0.35,2.22,-0.97,0.78,0.09,-0.70,1.12,-0.32,-0.43,-0.34,-1.04,2
-1.20,-1.04,-0.06,1.24,-1.41,0.30,1.23,3.20,3.53,3.25,5.93,4.94,5.79,3.47,1.96,3.28,-0.05,1.18,-1.89,0.23,0.31,-2.38,-0.50,-1.31,-0.69,0.58,1.02,-1.81,-0.50,0.67,-0.44,0.35,0.25,0.29,-0.73,-0.02,2.14,1.49,0.02,-2.16,2
-0.53,0.80,0.10,0.25,0.59,-0.38,-0.13,0.31,0.66,2.79,3.31,3.46,4.06,4.04,4.28,3.98,4.51,1.82,2.32,0.58,-0.11,-0.63,0.48,0.45,-1.96,0.36,0.54,-0.60,-0.75,-0.30,-0.35,-1.43,0.59,-1.23,-0.42,-0.16,-1.42,0.53,1.07,-0.55,2
-0.17,-0.27,-0.46,2.09,-1.32,0.88,2.20,2.13,2.04,3.54,4.04,5.12,5.06,2.54,4.91,1.90,2.18,1.17,-0.10,0.64,-0.01,-0.02,-0.75,-1.31,1.10,0.50,0.68,0.32,-1.19,-0.74,-0.43,-0.49,0.08,0.57,-0.63,0.43,0.18,-0.20,1.25,1.88,2
0.58,1.69,-0.77,0.36,0.37,0.49,0.87,1.67,1.64,2.29,5.70,5.64,4.20,3.62,3.48,2.27,1.72,2.58,1.87,-0.54,-1.98,-0.46,0.48,0.21,2.26,-0.49,0.22,-0.07,-0.55,-0.63,1.04,-1.03,-1.72,-0.09,0.43,-0.33,-1.66,-0.73,1.45,2.11,2
-1.06,-1.26,-0.87,0.83,-0.38,-0.35,1.00,1.38,1.59,3.01,4.67,3.71,2.54,4.71,5.07,2.89,3.19,1.78,2.19,1.56,0.45,-1.19,-0.71,-0.10,-0.95,0.70,0.07,-0.58,-0.27,-1.44,1.19,1.79,-0.01,-2.63,-1.91,0.59,0.80,0.35,1.58,-0.98,2
1.86,1.31,1.27,1.55,2.59,2.82,3.78,4.89,4.27,3.64,5.60,3.20,1.04,0.03,0.51,2.25,-0.73,1.61,0.49,-1.87,-1.29,-1.40,1.81,-0.80,0.99,1.18,-1.61,1.17,1.62,-0.44,-1.05,-1.17,-0.47,0.75,-2.19,0.09,-0.96,-0.38,1.13,-1.53,1
0.15,1.01,-0.18,0.68,1.61,1.83,1.66,2.22,2.90,2.80,1.62,2.96,3.07,3.33,4.33,2.98,1.65,1.66,0.45,1.83,2.44,-0.71,0.62,-0.16,0.05,0.92,0.23,0.18,-0.71,-1.07,0.95,-0.44,-0.09,-1.66,-1.13,0.70,-0.12,-1.96,-0.86,0.40,0
0.25,-1.42,-1.39,2.87,0.56,2.03,1.12,1.28,1.97,5.59,6.16,5.66,3.07,3.31,1.21,0.13,-0.47,1.26,-1.94,1.29,-0.01,-0.52,-0.16,0.46,0.52,0.06,0.56,-0.94,0.28,-0.51,0.61,0.90,-1.14,1.03,0.79,1.12,1.46,1.05,1.62,1.33,2
0.49,0.08,0.14,0.45,2.66,2.34,2.55,0.44,1.67,1.63,1.66,1.53,2.82,3.33,4.31,2.05,1.64,0.53,0.45,0.32,1.78,-0.29,0.31,-1.22,-2.15,-0.94,0.53,1.17,-1.26,-0.29,0.64,-0.21,1.00,0.66,0.61,-1.13,-0.16,-1.52,-1.35,-0.74,0
